vorname,anzahl,geschlecht
Marie,30,w
Sophie,26,w
Alexander,21,m
Charlotte,16,w
Anna,14,w
Johanna,14,w
Paul,12,m
Lea,12,w
Emil,11,m
Felix,11,m
Mia,11,w
Sophia,11,w
Louis,10,m
Luca,10,m
Max,10,m
Maximilian,10,m
Tim,10,m
Elisabeth,10,w
Emilia,10,w
Oskar,9,m
Emily,9,w
Emma,9,w
Maria,9,w
Pia,9,w
Ben,8,m
Elias,8,m
Leon,8,m
Amelie,8,w
Isabella,8,w
Luna,8,w
Victoria,8,w
Joel,7,m
Jonas,7,m
Karl,7,m
Michael,7,m
Tom,7,m
Hannah,7,w
Jasmin,7,w
Leonie,7,w
Lina,7,w
Sofia,7,w
Anton,6,m
Benjamin,6,m
Finn,6,m
Florian,6,m
Lukas,6,m
Maxim,6,m
Amy,6,w
Nils,6,m
Elena,6,w
Noah,6,m
Julia,6,w
Leni,6,w
Lilly,6,w
Olivia,6,w
Paula,6,w
Valentina,6,w
Adrian,5,m
Arthur,5,m
Bruno,5,m
Fabian,5,m
Jack,5,m
Linus,5,m
Annabelle,5,w
Ole,5,m
Finja,5,w
Philipp,5,m
Helena,5,w
Richard,5,m
Isabell,5,w
Samuel,5,m
Melissa,5,w
Thomas,5,m
Mila,5,w
Timo,5,m
Nele,5,w
Vincent,5,m
Nina,5,w
Zoe,5,w
Antonio,4,m
Damian,4,m
Alexandra,4,w
Fynn,4,m
Amina,4,w
Jonathan,4,m
Annabell,4,w
Levi,4,m
Elise,4,w
Malte,4,m
Frida,4,w
Matteo,4,m
Ida,4,w
Mattis,4,m
Jolie,4,w
Nick,4,m
Josephine,4,w
Peter,4,m
Lara,4,w
René,4,m
Maja,4,w
Simon,4,m
Mariella,4,w
Tobias,4,m
Amira,3,w
Aaron,3,m
Amélie,3,w
Anthony,3,m
Anastasia,3,w
Christian,3,m
Angelina,3,w
Constantin,3,m
Anja,3,w
Daniel,3,m
Clara,3,w
David,3,m
Emelie,3,w
Elyas,3,m
Fabienne,3,w
Erik,3,m
Florentina,3,w
Finley,3,m
Frieda,3,w
Frank,3,m
Helga,3,w
Friedrich,3,m
Isabelle,3,w
Henning,3,m
Joleen,3,w
Jakob,3,m
Joy,3,w
Jason,3,m
Lieselotte,3,w
Lennard,3,m
Lisa-Marie,3,w
Leo,3,m
Luisa,3,w
Liam,3,m
Matilda,3,w
Luis,3,m
Merle,3,w
Magnus,3,m
Milana,3,w
Marlon,3,m
Pauline,3,w
Martin,3,m
Romy,3,w
Mats,3,m
Sarah,3,w
Mika,3,m
Stella,3,w
Moritz,3,m
Vanessa,3,w
Nikita,3,m
Phil,3,m
Robert,3,m
Theo,3,m
Theodor,3,m
Tommy,3,m
Valentin,3,m
Alma,2,w
Amalia,2,w
Andrea,2,w
Anh,2,w
Anna-Lena,2,w
Anni,2,w
Aurelia,2,w
Adam,2,m
Ava,2,w
Aidan,2,m
Cataleya,2,w
Alwin,2,m
Celine,2,w
Andreas,2,m
Elisabeta,2,w
Ari,2,m
Elsa,2,w
Arminius,2,m
Erika,2,w
Aron,2,m
Evelina,2,w
Bastian,2,m
Felicia,2,w
Benedict,2,m
Felina,2,w
Bryan,2,m
Fiona,2,w
Christopher,2,m
Gisela,2,w
Colin,2,m
Grace,2,w
Conner,2,m
Hanna,2,w
Dario,2,m
Hayley,2,w
Dean,2,m
Jacqueline,2,w
Dennis,2,m
Jennifer,2,w
Doanh,2,m
Jody,2,w
Dominique,2,m
Josefine,2,w
Dorian,2,m
Karla,2,w
Edgar,2,m
Katelyn,2,w
Edwin,2,m
Katharina,2,w
Eliah,2,m
Kerstin,2,w
Erich,2,m
Klara,2,w
Gerhard,2,m
Larissa,2,w
Harald,2,m
Laura,2,w
Henri,2,m
Lea-Sophie,2,w
Henry,2,m
Leticia,2,w
Jannis,2,m
Liliana,2,w
Jasper,2,m
Lilli,2,w
Jayden,2,m
Linda,2,w
Johann,2,m
Lisa,2,w
Johannes,2,m
Lotta,2,w
John,2,m
Lucia,2,w
Jonah,2,m
Lucy,2,w
Julian,2,m
Luise,2,w
Julien,2,m
Madita,2,w
Justus,2,m
Mae,2,w
Lars,2,m
Marla,2,w
Leonas,2,m
Martha,2,w
Leopold,2,m
Mathilda,2,w
Levian,2,m
Melina,2,w
Lewis,2,m
Melody,2,w
Lias,2,m
Mia-Fabienne,2,w
Lucas,2,m
Mia-Sophie,2,w
Luke,2,m
Milena,2,w
Marc,2,m
Minh,2,w
Marco,2,m
Mira,2,w
Marten,2,m
Neele,2,w
Matheo,2,m
Nikita,2,w
Maurice,2,m
Nora,2,w
Mick,2,m
Rosalie,2,w
Mihai,2,m
Ruby,2,w
Milan,2,m
Samantha,2,w
Niklas,2,m
Scarlett,2,w
Pepe,2,m
Selina,2,w
Ragnar,2,m
Sofi,2,w
Riley,2,m
Sofie,2,w
Romano,2,m
Stefanie,2,w
Sascha,2,m
Sunny,2,w
Sebastian,2,m
Susanne,2,w
Siegfried,2,m
Tabea,2,w
Stefan,2,m
Tamara,2,w
Stephan,2,m
Tamina,2,w
Sven,2,m
Valeria,2,w
Thorben,2,m
Vivien,2,w
Til,2,m
Zoey,2,w
Till,2,m
Zoé,2,w
Tino,2,m
Tyler,2,m
Vito,2,m
Willi,2,m
William,2,m
Wolfgang,2,m
